Close,Date,High,Low,Open,Volume
1.12026,2015-09-08T19:00:00.000000000Z,1.1214,1.11854,1.11854,1972
1.12077,2015-09-08T21:00:00.000000000Z,1.12092,1.12007,1.12023,643
1.11933,2015-09-08T23:00:00.000000000Z,1.12164,1.11877,1.12074,1419
1.11747,2015-09-09T01:00:00.000000000Z,1.12073,1.11735,1.11935,1583
1.11688,2015-09-09T03:00:00.000000000Z,1.11809,1.11616,1.1175,1207
1.11563,2015-09-09T05:00:00.000000000Z,1.11698,1.11469,1.11685,2775
1.11939,2015-09-09T07:00:00.000000000Z,1.12074,1.11544,1.11564,4508
1.115,2015-09-09T09:00:00.000000000Z,1.11983,1.11437,1.11939,3349
1.11324,2015-09-09T11:00:00.000000000Z,1.11572,1.11318,1.11501,3185
1.11637,2015-09-09T13:00:00.000000000Z,1.1181,1.11323,1.11328,4669
1.11597,2015-09-09T15:00:00.000000000Z,1.11717,1.1147,1.11634,2844
1.11969,2015-09-09T17:00:00.000000000Z,1.12059,1.11526,1.11598,3904
1.12073,2015-09-09T19:00:00.000000000Z,1.12092,1.11874,1.11972,2518
1.12188,2015-09-09T21:00:00.000000000Z,1.12245,1.12046,1.12067,1993
1.12313,2015-09-09T23:00:00.000000000Z,1.1245,1.12127,1.12183,1881
1.12113,2015-09-10T01:00:00.000000000Z,1.12381,1.12059,1.12317,2495
1.12141,2015-09-10T03:00:00.000000000Z,1.12182,1.11945,1.1211,2298
1.12103,2015-09-10T05:00:00.000000000Z,1.12348,1.11981,1.12138,4366
1.11972,2015-09-10T07:00:00.000000000Z,1.12163,1.11823,1.12104,5223
1.11909,2015-09-10T09:00:00.000000000Z,1.12075,1.11719,1.11976,3299
1.12112,2015-09-10T11:00:00.000000000Z,1.12185,1.11823,1.11905,4597
1.1215,2015-09-10T13:00:00.000000000Z,1.12298,1.11984,1.12115,4949
1.12637,2015-09-10T15:00:00.000000000Z,1.12827,1.12134,1.12149,6743
1.12851,2015-09-10T17:00:00.000000000Z,1.12954,1.12637,1.1264,3390
